Symbol,Company Name,SA Quant Rating
MU,Micron Technology Inc.,4.99
LITE,Lumentum Holdings Inc.,4.99
NGD,New Gold Inc.,4.99
IAG,IAMGOLD Corporation,4.99
AXTI,"AXT, Inc.",4.99
SBSW,Sibanye Stillwater Limited,4.99
ARREF,Amerigo Resources Ltd.,4.98
TRX,TRX Gold Corporation,4.98
GMTLF,Guardian Metal Resources PLC,4.98
ASYS,"Amtech Systems, Inc.",4.98
CGAU,Centerra Gold Inc.,4.98
VFF,"Village Farms International, Inc.",4.98
ORLA,Orla Mining Ltd.,4.98
TTMI,"TTM Technologies, Inc.",4.97
LUNMF,Lundin Mining Corporation,4.97
NGL,NGL Energy Partners LP,4.97
CIEN,Ciena Corporation,4.97
CDE,"Coeur Mining, Inc.",4.97
NEM,Newmont Corporation,4.97
GFI,Gold Fields Limited,4.96
VISN,"Vistance Networks, Inc.",4.96
LASR,"nLIGHT, Inc.",4.96
AUGO,Aura Minerals Inc.,4.96
B,Barrick Mining Corporation,4.96
TSM,Taiwan Semiconductor Manufacturing Company Limited,4.96
NLCP,"NewLake Capital Partners, Inc.",4.96
HUT,Hut 8 Corp.,4.96
NEXA,Nexa Resources S.A.,4.95
HBM,Hudbay Minerals Inc.,4.95
KGC,Kinross Gold Corporation,4.95
COHR,Coherent Corp.,4.95
STTK,"Shattuck Labs, Inc.",4.95
PRE,Prenetics Global Limited,4.95
NUTX,Nutex Health Inc.,4.94
OESX,"Orion Energy Systems, Inc.",4.94
EGO,Eldorado Gold Corporation,4.94
ERO,Ero Copper Corp.,4.94
EQX,Equinox Gold Corp.,4.94
AMKR,"Amkor Technology, Inc.",4.94
CSTM,Constellium SE,4.94
ITUB,Itau Unibanco Holding S.A.,4.93
HYFT,MindWalk Holdings Corp.,4.93
LTM,LATAM Airlines Group S.A.,4.93
INDV,"Indivior Pharmaceuticals, Inc.",4.93
EDAP,EDAP TMS S.A.,4.93
LIEN,"Chicago Atlantic BDC, Inc.",4.93
LQDA,Liquidia Corporation,4.92
SLGL,Sol-Gel Technologies Ltd.,4.92
WLDN,"Willdan Group, Inc.",4.92
CLS,Celestica Inc.,4.92
AU,AngloGold Ashanti plc,4.92
