entry_date,exit_date,expiration,strike,quantity,entry_price,exit_price,pnl_pct,pnl_dollar,days_held,exit_reason,contract_cost,entry_delta,entry_spot,entry_sma200,entry_pct_above_sma,entry_std_above_sma,entry_trailing_12m_return
2015-03-02,2015-05-27,2015-06-19,96.0,1,13.89,14.81,0.06623470122390218,92.0,60,MH,1389.0,0.7901419435469494,100.71418762207031,90.7618826675415,0.10965291443968672,18.766436426838116,0.22422821552328132
2015-03-03,2015-05-28,2015-06-19,94.63,1,14.73,16.14,0.09572301425661922,141.0,60,MH,1473.0,0.8141655240767416,100.2446517944336,90.86543148040772,0.10322099572099877,17.109014603500388,0.22762502876530744
2015-03-04,2015-05-29,2015-06-19,94.63,1,14.47,15.49,0.07049067035245327,102.0,60,MH,1447.0,0.7933718804823451,99.85787963867188,90.96444507598876,0.09776824950950697,16.1803265606225,0.20753677415224026
2015-03-05,2015-06-01,2015-06-19,94.63,1,14.58,15.63,0.07201646090534974,105.0,60,MH,1458.0,0.8049940733878765,100.0328598022461,91.06154975891113,0.0985191891318218,16.444960379998953,0.20633213857921073
2015-03-23,2015-06-17,2015-07-17,95.0,1,14.16,13.73,-0.030367231638418035,-43.0,60,MH,1416.0,0.7947415739592479,99.96759033203125,92.01466720581055,0.0864310372218407,11.552884719344215,0.23063415882141958
2015-03-24,2015-06-18,2015-07-17,95.0,1,13.96,15.52,0.11174785100286533,156.0,60,MH,1396.0,0.7798679525129182,99.60767364501953,92.0891096496582,0.08164444225777395,10.852497868114051,0.23704503400273813
2015-03-25,2015-06-19,2015-07-17,91.0,1,15.44,18.66,0.20854922279792754,322.0,60,MH,1544.0,0.8082760272278249,97.32811737060547,92.1524737548828,0.056163914052805616,6.187868477420849,0.20477462047967188
2015-03-26,2015-06-22,2015-07-17,91.0,1,15.08,19.44,0.2891246684350133,436.0000000000002,60,MH,1508.0,0.7970642827434147,96.99588012695312,92.21344650268554,0.05186264916503586,5.784425025540935,0.21632817383786973
2015-03-27,2015-06-23,2015-07-17,91.0,1,15.44,19.63,0.27137305699481873,419.0,60,MH,1544.0,0.8166313018369595,97.38347625732422,92.2764485168457,0.05534486667577146,6.132589215791838,0.22807560889300427
2015-03-30,2015-06-24,2015-07-17,93.0,1,14.54,17.06,0.17331499312242094,251.99999999999977,60,MH,1454.0,0.798055193816741,98.50019836425781,92.34886756896972,0.06660970466902624,7.252441811166031,0.23973277211623967
2015-03-31,2015-06-25,2015-07-17,91.0,1,15.37,18.9,0.22966818477553663,352.9999999999998,60,MH,1537.0,0.816414775817242,97.45731353759766,92.41484004974365,0.05456346064268277,5.804951929219481,0.21793242981043948
2015-04-01,2015-06-26,2015-07-17,91.0,1,15.11,18.22,0.20582395764394446,311.0,60,MH,1511.0,0.801220406781745,96.94970703125,92.47790939331054,0.048355306335060064,5.131557841113047,0.19067399420338527
2015-04-02,2015-06-29,2015-07-17,91.0,1,14.95,15.69,0.04949832775919738,74.0,60,MH,1495.0,0.8117222592990461,97.01435089111328,92.54107387542724,0.04833828729616506,5.138590254189164,0.1884033739574842
2015-04-20,2015-07-15,2015-08-21,94.0,1,14.39,16.48,0.1452397498262683,209.0,60,MH,1439.0,0.7983128008152502,99.30311584472656,93.26964756011962,0.0646884430512927,7.163786363082884,0.2621628991430076
2015-04-21,2015-07-16,2015-08-21,94.0,1,14.87,18.04,0.2131809011432415,317.0,60,MH,1487.0,0.811462171422405,99.72762298583984,93.33037288665771,0.0685441395048435,7.548354919483906,0.2582172038342829
2015-04-22,2015-07-17,2015-08-21,95.0,1,14.24,17.97,0.261938202247191,373.0,60,MH,1424.0,0.7990293344182855,100.27214050292969,93.39514789581298,0.07363329639767088,8.072269427123986,0.255114021881391
2015-04-23,2015-07-20,2015-08-21,96.0,1,14.27,17.85,0.25087596355991604,358.0000000000002,60,MH,1427.0,0.7829661696146841,100.6505126953125,93.46707695007325,0.0768552519201642,10.509794609821986,0.2710311060240824
2015-04-24,2015-07-21,2015-08-21,97.0,1,14.29,16.72,0.1700489853044087,243.0,60,MH,1429.0,0.7948226990756069,102.01642608642578,93.54263244628906,0.09058750452636939,11.818747665260515,0.2760725300645104
2015-04-27,2015-07-22,2015-08-21,96.0,1,15.06,16.63,0.10424966799468782,157.0,60,MH,1506.0,0.8083974929707254,101.75799560546875,93.61826854705811,0.0869459260968828,11.235086676104457,0.2935146904079564
2015-04-28,2015-07-23,2015-08-21,96.0,1,14.89,16.7,0.12155809267965068,181.0,60,MH,1489.0,0.8067933308494263,101.55493927001953,93.69009811401367,0.0839452761212285,11.231939548470098,0.2867537055890952
2015-04-29,2015-07-24,2015-08-21,95.0,1,15.03,15.48,0.029940119760479167,45.0,60,MH,1503.0,0.8123883228224809,100.91815948486328,93.75613540649414,0.07638992421474164,10.668373923734368,0.2685622805138179
2015-04-30,2015-07-27,2015-08-21,94.0,1,14.59,16.34,0.11994516792323506,175.0,60,MH,1459.0,0.7826588831489556,99.33078002929688,93.81574588775635,0.05878580497711822,7.317702613826349,0.24532270488307328
2015-05-01,2015-07-28,2015-08-21,95.0,1,14.73,16.16,0.09708078750848603,143.0,60,MH,1473.0,0.8105131320632032,100.64125061035156,93.88016994476318,0.07201819798117576,8.510004690165397,0.2580093940269004
2015-05-05,2015-07-30,2015-08-21,93.0,1,15.26,19.09,0.2509829619921362,383.0,60,MH,1526.0,0.8116915269913896,99.16468811035156,94.00722499847411,0.054862412032279026,5.948906547901435,0.23532428498735292
2015-05-06,2015-07-31,2015-08-21,92.0,1,15.43,19.81,0.2838626053143227,437.9999999999998,60,MH,1543.0,0.8096826550981847,98.48172760009766,94.06034797668457,0.04700577574419614,5.100836639319302,0.24292722804882283
2015-06-02,2015-08-21,2015-09-18,96.0,1,14.5,7.69,-0.46965517241379307,-681.0,57,SMA,1450.0,0.8037051501847774,101.5826416015625,95.26292606353759,0.06633971681501619,8.154612948009888,0.22008265447314646
2015-06-24,2015-08-21,2015-10-16,97.0,1,14.1,6.99,-0.5042553191489361,-711.0,41,SMA,1410.0,0.7946910188391595,101.95503997802734,96.08712509155274,0.061068690325406266,8.987871530121815,0.20177556054287527
2015-06-25,2015-08-21,2015-10-16,96.0,1,14.81,7.78,-0.474679270762998,-703.0,40,SMA,1481.0,0.8147101409759743,101.75152587890625,96.14172554016113,0.05834927870523547,8.592505088771812,0.19179127351430192
2015-06-29,2015-08-21,2015-10-16,92.0,1,15.86,11.48,-0.27616645649432525,-438.0,38,SMA,1586.0,0.7918512862650896,98.68971252441406,96.22510261535645,0.02561296212807873,3.0027517750508315,0.1502571202707521
2015-06-30,2015-08-21,2015-10-16,92.0,1,16.06,11.48,-0.28518057285180565,-457.9999999999998,37,SMA,1605.9999999999998,0.8067877453353991,99.04124450683594,96.26509929656983,0.028838543049890454,3.3549435540158283,0.15238724584119923
2015-07-20,2015-08-21,2015-11-20,100.0,1,14.81,6.0,-0.5948683322079675,-881.0,24,SMA,1481.0,0.8039522722189936,105.43309020996094,96.94062633514405,0.087604796831585,8.49177043192742,0.19855385949696447
2015-07-22,2015-08-21,2015-11-20,99.0,1,14.57,6.48,-0.5552505147563487,-809.0,22,SMA,1457.0,0.7961233795373037,104.17506408691406,97.09217876434326,0.07295011207609203,6.8558956105247715,0.17824602762327002
2015-07-24,2015-08-21,2015-11-20,97.0,1,15.65,7.97,-0.49073482428115023,-768.0,20,SMA,1565.0,0.7960845477044187,102.76905822753906,97.23269104003906,0.05693935988278065,5.244182898042318,0.15623987657294558
2015-07-28,2015-08-21,2015-11-20,97.0,1,15.14,7.97,-0.4735799207397623,-717.0,18,SMA,1514.0,0.8037251123646034,102.79681396484375,97.36042190551758,0.05583780300995262,5.902062038233154,0.16073539805230408
2015-08-05,2015-08-21,2015-11-20,98.0,1,15.03,7.21,-0.520292747837658,-782.0,12,SMA,1503.0,0.813228348332689,103.83282470703125,97.90574527740479,0.060538627358718886,7.196994281061163,0.19945473785721357
2015-08-06,2015-08-21,2015-11-20,96.0,1,15.23,8.66,-0.43138542350623765,-657.0,11,SMA,1523.0,0.8042219680043659,102.16778564453125,97.9836382675171,0.042702510857889404,4.544366038038808,0.18109452990821273
2015-08-07,2015-08-21,2015-12-18,95.63,1,15.73,9.47,-0.3979656706929434,-625.9999999999999,10,SMA,1573.0,0.796641566937824,102.03831481933594,98.04950866699218,0.04068155166275265,4.576709080974042,0.18335355378581375
