ticker,bars_loaded,total_return,cagr,volatility,sharpe,max_dd,has_options,n_expirations,atm_oi,spread_pct,liquidity_score,passes_growth,passes_sharpe,passes_vol,passes_liquidity,overall_pass,recommendation
SPY,1780,2.07548591435342,0.17239897125490256,0.19698408397788264,0.67213029896247,-0.3371726576287936,True,1973,0,0.0048750761730651,37.81230956733725,True,True,True,False,False,MARGINAL
QQQ,1780,3.195374645404545,0.22508872890146714,0.2412605998970046,0.7671734588261924,-0.35118720683037097,True,1566,0,0.006767308693388808,33.08172826652798,True,True,True,False,False,MARGINAL
RSP,1780,1.4482128943259793,0.13514295515496388,0.20341470036111087,0.46772900378419974,-0.3904130895722099,True,253,0,1.9387755102040816,0.0,True,False,True,False,False,MARGINAL
IWM,1780,1.1076076979279543,0.11132197200591887,0.25323392855912213,0.28164461378352557,-0.4107238044258989,True,1384,0,0.007109004739336552,32.22748815165862,True,False,False,False,False,MARGINAL
DIA,1780,1.3929570505130933,0.13148021397458542,0.19094347540146983,0.4790957836199583,-0.3669605348250756,True,756,0,0.03499999999999996,0.0,True,False,True,False,False,MARGINAL
VTI,1780,1.9681298601595891,0.16651636872140152,0.20157612651826545,0.6276356774319575,-0.35000284087636824,True,224,0,0.3055555555555556,0.0,True,True,True,False,False,MARGINAL
XLK,1780,3.949721987845142,0.25410503635281967,0.26634214393556116,0.803872166789422,-0.3355906851701059,True,681,0,0.16304347826086957,0.0,True,True,False,False,False,MARGINAL
XLF,1780,1.539775734628587,0.14105902027757145,0.24060827825914713,0.42001472687787506,-0.42862534140311664,True,755,0,0.10588235294117644,0.0,True,False,True,False,False,MARGINAL
XLV,1780,1.0472930659608872,0.10676317058133855,0.17506029323342143,0.38137243659427694,-0.2840431294367942,True,674,0,1.0188679245283019,0.0,True,False,True,False,False,MARGINAL
XLE,1780,1.4010234237221266,0.1320194059460298,0.3283278432243857,0.2802668364715627,-0.6298514841119045,True,768,0,0.20348837209302317,0.0,True,False,False,False,False,MARGINAL
XLI,1780,1.8726159593440603,0.16112705820971174,0.21640453693874764,0.5597251329531793,-0.42334094756062896,True,674,0,2.317535545023697,0.0,True,True,True,False,False,MARGINAL
XLY,1780,1.5919811755704782,0.14435063480868893,0.2436219887116657,0.4283301165076326,-0.39669569130136806,True,676,0,1.6065573770491806,0.0,True,False,True,False,False,MARGINAL
