combo_id,underlying,strategy_type,width_pct,tp_pct,sl_mult,entry_date,expiration_date,exit_date,dte,short_strike,long_strike,spot_at_entry,credit,max_loss,exit_cost,pnl,exit_reason,iv_at_entry,iv_rank_at_entry,has_real_quote,short_ticker,long_ticker
DIA_2023-01-03_CALL_5pct_TP50_SL100,DIA,CALL,0.05,0.5,1.0,2023-01-03,2023-02-10,2023-01-11,38,345.0,360.0,331.22,1.93,1307.0,4.02,-209.0,stop_loss,0.1585250058814549,0.3240728717980149,True,O:DIA230210C00345000,O:DIA230210C00360000
DIA_2023-01-03_CALL_5pct_TP50_SL200,DIA,CALL,0.05,0.5,2.0,2023-01-03,2023-02-10,2023-01-19,38,345.0,360.0,331.22,1.93,1307.0,0.7,123.0,take_profit,0.1585250058814549,0.3240728717980149,True,O:DIA230210C00345000,O:DIA230210C00360000
DIA_2023-01-03_CALL_5pct_TP75_SL100,DIA,CALL,0.05,0.75,1.0,2023-01-03,2023-02-10,2023-01-11,38,345.0,360.0,331.22,1.93,1307.0,4.02,-209.0,stop_loss,0.1585250058814549,0.3240728717980149,True,O:DIA230210C00345000,O:DIA230210C00360000
DIA_2023-01-03_CALL_5pct_TP75_SL200,DIA,CALL,0.05,0.75,2.0,2023-01-03,2023-02-10,2023-02-06,38,345.0,360.0,331.22,1.93,1307.0,0.41,152.0,take_profit,0.1585250058814549,0.3240728717980149,True,O:DIA230210C00345000,O:DIA230210C00360000
SLV_2023-01-03_CALL_5pct_TP50_SL100,SLV,CALL,0.05,0.5,1.0,2023-01-03,2023-02-10,2023-01-19,38,24.0,25.0,22.05,0.14,86.0,0.06,8.0,take_profit,0.33285496272696513,0.5708618813698134,True,O:SLV230210C00024000,O:SLV230210C00025000
SLV_2023-01-03_CALL_5pct_TP50_SL200,SLV,CALL,0.05,0.5,2.0,2023-01-03,2023-02-10,2023-01-19,38,24.0,25.0,22.05,0.14,86.0,0.06,8.0,take_profit,0.33285496272696513,0.5708618813698134,True,O:SLV230210C00024000,O:SLV230210C00025000
SLV_2023-01-03_CALL_5pct_TP75_SL100,SLV,CALL,0.05,0.75,1.0,2023-01-03,2023-02-10,2023-01-23,38,24.0,25.0,22.05,0.14,86.0,0.02,12.0,take_profit,0.33285496272696513,0.5708618813698134,True,O:SLV230210C00024000,O:SLV230210C00025000
SLV_2023-01-03_CALL_5pct_TP75_SL200,SLV,CALL,0.05,0.75,2.0,2023-01-03,2023-02-10,2023-01-23,38,24.0,25.0,22.05,0.14,86.0,0.02,12.0,take_profit,0.33285496272696513,0.5708618813698134,True,O:SLV230210C00024000,O:SLV230210C00025000
SLV_2023-01-03_PUT_5pct_TP50_SL100,SLV,PUT,0.05,0.5,1.0,2023-01-03,2023-02-10,2023-01-20,38,20.5,19.5,22.05,0.16,84.0,0.07,9.0,take_profit,0.33285496272696513,0.5708618813698134,True,O:SLV230210P00020500,O:SLV230210P00019500
SLV_2023-01-03_PUT_5pct_TP50_SL200,SLV,PUT,0.05,0.5,2.0,2023-01-03,2023-02-10,2023-01-20,38,20.5,19.5,22.05,0.16,84.0,0.07,9.0,take_profit,0.33285496272696513,0.5708618813698134,True,O:SLV230210P00020500,O:SLV230210P00019500
SLV_2023-01-03_PUT_5pct_TP75_SL100,SLV,PUT,0.05,0.75,1.0,2023-01-03,2023-02-10,2023-01-31,38,20.5,19.5,22.05,0.16,84.0,0.03,13.0,take_profit,0.33285496272696513,0.5708618813698134,True,O:SLV230210P00020500,O:SLV230210P00019500
SLV_2023-01-03_PUT_5pct_TP75_SL200,SLV,PUT,0.05,0.75,2.0,2023-01-03,2023-02-10,2023-01-31,38,20.5,19.5,22.05,0.16,84.0,0.03,13.0,take_profit,0.33285496272696513,0.5708618813698134,True,O:SLV230210P00020500,O:SLV230210P00019500
