entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,short_put,long_put,put_width,credit,max_loss,pnl,won,exit_reason,side_breached,data_source,dte,sma_value,sma_period,sma_filter_active,stop_loss_mult
2012-05-18,2012-06-17,2012-05-21,101.77706909179688,25.100000381469727,0.3213,medium,0.2,96.0,91.0,5.0,0.58,442.0,33.0,True,take_profit,,synthetic,30,,0,False,2.0
2014-02-20,2014-03-22,2014-03-04,149.94717407226562,14.789999961853027,0.3442,medium,0.2,145.0,140.0,5.0,0.02,498.0,1.0,True,take_profit,,thetadata,30,,0,False,2.0
2014-10-08,2014-11-07,2014-10-14,162.3940887451172,15.109999656677246,0.4308,medium,0.2,155.0,150.0,5.0,0.02,498.0,-7.0,False,stop_loss,,thetadata,30,,0,False,2.0
2014-10-22,2014-11-22,2014-10-23,159.1320343017578,17.8700008392334,0.505,high,0.25,155.0,150.0,5.0,0.01,499.0,-6.0,False,stop_loss,,thetadata,31,,0,False,2.0
2014-12-11,2015-01-09,2014-12-18,168.6292266845703,20.079999923706055,0.6528,high,0.25,165.0,160.0,5.0,0.04,496.0,-38.0,False,stop_loss,,thetadata,29,,0,False,2.0
2014-12-18,2015-01-17,2014-12-19,170.7681884765625,16.809999465942383,0.4341,medium,0.2,165.0,160.0,5.0,0.01,499.0,-3.0,False,stop_loss,,thetadata,30,,0,False,2.0
2015-01-12,2015-02-13,2015-01-13,168.28109741210938,19.600000381469727,0.6207,high,0.25,165.0,160.0,5.0,0.02,498.0,-6.0,False,stop_loss,,thetadata,32,,0,False,2.0
2015-01-20,2015-02-20,2015-01-28,167.7911834716797,19.889999389648438,0.6401,high,0.25,163.0,158.0,5.0,0.02,498.0,-5.0,False,stop_loss,,thetadata,31,,0,False,2.0
2015-08-24,2015-09-25,2015-08-25,158.83261108398438,40.7400016784668,1.0,very_high,0.3,151.0,146.0,5.0,0.03,497.0,-33.0,False,stop_loss,,thetadata,32,,0,False,2.0
2015-08-31,2015-09-30,2015-09-01,165.68038940429688,28.43000030517578,0.5733,high,0.25,158.0,153.0,5.0,0.05,495.0,-14.0,False,stop_loss,,thetadata,30,,0,False,2.0
2015-09-08,2015-10-09,2015-09-09,165.479248046875,24.899999618530273,0.451,medium,0.2,155.0,150.0,5.0,0.03,497.0,-8.0,False,stop_loss,,thetadata,31,,0,False,2.0
2015-09-15,2015-10-16,2015-09-17,166.342529296875,22.540000915527344,0.3692,medium,0.2,159.0,154.0,5.0,0.03,497.0,-7.0,False,stop_loss,,thetadata,31,,0,False,2.0
2015-09-22,2015-10-23,2015-09-24,163.37388610839844,22.440000534057617,0.3657,medium,0.2,155.0,150.0,5.0,0.02,498.0,-4.0,False,stop_loss,,thetadata,31,,0,False,2.0
2016-02-16,2016-03-18,2016-02-24,160.8458709716797,24.110000610351562,0.4224,medium,0.2,153.0,148.0,5.0,0.04,496.0,2.0,True,take_profit,,thetadata,31,,0,False,2.0
2016-02-23,2016-03-24,2016-03-24,162.99864196777344,20.979999542236328,0.3137,medium,0.2,155.0,150.0,5.0,0.01,499.0,1.0,True,expiration,,thetadata,30,,0,False,2.0
2017-08-17,2017-09-15,2017-08-28,212.398681640625,15.550000190734863,0.4707,medium,0.2,206.0,200.0,6.0,0.03,597.0,2.0,True,take_profit,,thetadata,29,,0,False,2.0
2017-11-17,2017-12-15,2017-12-06,226.4220428466797,11.430000305175781,0.3319,medium,0.2,221.0,214.0,7.0,0.02,698.0,1.0,True,take_profit,,thetadata,28,,0,False,2.0
2018-01-18,2018-02-16,2018-02-02,246.36050415039062,12.220000267028809,0.4464,medium,0.2,241.0,234.0,7.0,0.02,698.0,-7.0,False,stop_loss,,thetadata,29,,0,False,2.0
2018-01-25,2018-02-23,2018-02-13,250.03196716308594,11.579999923706055,0.3536,medium,0.2,244.0,236.0,8.0,0.46,754.0,28.0,True,take_profit,,thetadata,29,,0,False,2.0
2018-02-01,2018-03-02,2018-02-14,248.513916015625,13.470000267028809,0.6275,high,0.25,243.0,236.0,7.0,0.24,676.0,13.0,True,take_profit,,thetadata,29,,0,False,2.0
2018-02-08,2018-03-09,2018-02-12,227.3764190673828,33.459999084472656,0.863,very_high,0.3,218.0,211.0,7.0,0.04,696.0,-10.0,False,stop_loss,,thetadata,29,,0,False,2.0
2018-02-15,2018-03-16,2018-02-26,240.96795654296875,19.1299991607666,0.3545,medium,0.2,232.0,225.0,7.0,0.06,694.0,3.0,True,take_profit,,thetadata,29,,0,False,2.0
2018-03-02,2018-04-02,2018-03-09,237.48182678222656,19.59000015258789,0.3708,medium,0.2,230.0,220.0,10.0,0.11,989.0,6.0,True,take_profit,,thetadata,31,,0,False,2.0
2018-03-23,2018-04-23,2018-04-05,228.65919494628906,24.8700008392334,0.5582,high,0.25,220.0,215.0,5.0,0.07,493.0,4.0,True,take_profit,,thetadata,31,,0,False,2.0
2018-04-02,2018-05-02,2018-04-11,228.14529418945312,23.6200008392334,0.5138,high,0.25,220.0,210.0,10.0,0.13,987.0,7.0,True,take_profit,,thetadata,30,,0,False,2.0
2018-04-09,2018-05-09,2018-04-25,231.27328491210938,21.770000457763672,0.4482,medium,0.2,220.0,215.0,5.0,0.08,492.0,6.0,True,take_profit,,thetadata,30,,0,False,2.0
2018-10-11,2018-11-09,2018-10-31,243.3505859375,24.979999542236328,0.5621,high,0.25,234.0,227.0,7.0,0.13,687.0,7.0,True,take_profit,,thetadata,29,,0,False,2.0
2018-10-18,2018-11-16,2018-11-01,247.13270568847656,20.059999465942383,0.3875,medium,0.2,237.0,230.0,7.0,0.11,689.0,6.0,True,take_profit,,thetadata,29,,0,False,2.0
2018-10-25,2018-11-23,2018-11-02,241.48187255859375,24.219999313354492,0.5351,high,0.25,230.0,225.0,5.0,0.09,491.0,5.0,True,take_profit,,thetadata,29,,0,False,2.0
2018-11-01,2018-11-30,2018-11-16,244.54873657226562,19.34000015258789,0.362,medium,0.2,235.0,228.0,7.0,0.24,676.0,21.0,True,take_profit,,thetadata,29,,0,False,2.0
2018-11-23,2018-12-24,2018-11-27,235.3751220703125,21.520000457763672,0.4391,medium,0.2,225.0,215.0,10.0,0.14,986.0,8.0,True,take_profit,,thetadata,31,,0,False,2.0
2018-11-30,2018-12-31,2018-12-04,246.46206665039062,18.06999969482422,0.3166,medium,0.2,237.0,230.0,7.0,0.05,695.0,-11.0,False,stop_loss,,thetadata,31,,0,False,2.0
2018-12-17,2019-01-16,2018-12-31,228.32058715820312,24.520000457763672,0.5456,high,0.25,219.0,212.0,7.0,0.29,671.0,15.0,True,take_profit,,thetadata,30,,0,False,2.0
2018-12-24,2019-01-23,2019-01-02,210.74986267089844,36.06999969482422,0.9556,very_high,0.3,202.0,196.0,6.0,0.08,592.0,4.0,True,take_profit,,thetadata,30,,0,False,2.0
2019-01-02,2019-02-01,2019-01-09,224.99526977539062,23.219999313354492,0.4995,medium,0.2,214.0,207.0,7.0,0.13,687.0,7.0,True,take_profit,,thetadata,30,,0,False,2.0
2019-01-09,2019-02-08,2019-01-17,232.0010986328125,19.979999542236328,0.3695,medium,0.2,222.0,215.0,7.0,0.1,690.0,5.0,True,take_profit,,thetadata,30,,0,False,2.0
2019-01-16,2019-02-15,2019-01-25,234.70816040039062,19.040000915527344,0.3094,medium,0.2,226.0,219.0,7.0,0.11,689.0,6.0,True,take_profit,,thetadata,30,,0,False,2.0
2019-01-24,2019-02-22,2019-01-31,237.01943969726562,18.889999389648438,0.3037,medium,0.2,227.5,220.0,7.5,0.09,741.0,6.0,True,take_profit,,thetadata,29,,0,False,2.0
2019-05-13,2019-06-12,2019-05-15,253.69944763183594,20.549999237060547,0.3846,medium,0.2,245.0,235.0,10.0,0.18,982.0,11.0,True,take_profit,,thetadata,30,,0,False,2.0
2019-08-07,2019-09-06,2019-08-13,261.38702392578125,19.489999771118164,0.3426,medium,0.2,250.0,245.0,5.0,0.11,489.0,6.0,True,take_profit,,thetadata,30,,0,False,2.0
2019-08-14,2019-09-13,2019-08-19,257.6927490234375,22.100000381469727,0.4289,medium,0.2,245.0,240.0,5.0,0.1,490.0,7.0,True,take_profit,,thetadata,30,,0,False,2.0
2019-08-28,2019-09-27,2019-09-04,262.22210693359375,19.350000381469727,0.3164,medium,0.2,252.5,245.0,7.5,0.17,733.0,10.0,True,take_profit,,thetadata,30,,0,False,2.0
2019-10-03,2019-11-01,2019-10-10,264.8282470703125,19.1200008392334,0.307,medium,0.2,255.0,245.0,10.0,0.17,983.0,10.0,True,take_profit,,thetadata,29,,0,False,2.0
2020-02-20,2020-03-20,2020-02-24,308.7686462402344,15.5600004196167,0.308,medium,0.2,299.0,290.0,9.0,0.14,886.0,-74.0,False,stop_loss,put,thetadata,29,,0,False,2.0
2020-03-19,2020-04-17,2020-03-30,220.39459228515625,72.0,0.8498,very_high,0.3,203.0,196.0,7.0,1.21,579.0,76.0,True,take_profit,,thetadata,29,,0,False,2.0
2020-03-26,2020-04-24,2020-04-06,240.76162719726562,61.0,0.6952,high,0.25,218.0,211.0,7.0,0.83,617.0,43.0,True,take_profit,,thetadata,29,,0,False,2.0
2020-04-02,2020-05-01,2020-04-08,232.12478637695312,50.90999984741211,0.5533,high,0.25,214.0,207.0,7.0,0.84,616.0,57.0,True,take_profit,,thetadata,29,,0,False,2.0
2020-04-09,2020-05-08,2020-04-17,256.4313659667969,41.66999816894531,0.4235,medium,0.2,234.0,226.0,8.0,0.61,739.0,34.0,True,take_profit,,thetadata,29,,0,False,2.0
2020-04-17,2020-05-18,2020-04-29,264.2109680175781,38.150001525878906,0.374,medium,0.2,245.0,235.0,10.0,0.72,928.0,52.0,True,take_profit,,thetadata,31,,0,False,2.0
2020-04-24,2020-05-22,2020-04-29,260.8280944824219,35.93000030517578,0.3428,medium,0.2,241.0,233.0,8.0,0.49,751.0,29.0,True,take_profit,,thetadata,28,,0,False,2.0
2020-05-01,2020-06-01,2020-05-07,260.6622314453125,37.189998626708984,0.3605,medium,0.2,240.0,230.0,10.0,0.65,935.0,40.0,True,take_profit,,thetadata,31,,0,False,2.0
2020-06-15,2020-07-15,2020-06-29,283.02386474609375,34.400001525878906,0.3213,medium,0.2,265.0,255.0,10.0,0.59,941.0,36.0,True,take_profit,,thetadata,30,,0,False,2.0
