entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2012-05-18,2012-06-17,2012-06-05,101.77703857421875,25.100000381469727,0.3213,medium,0.2,93.0,96.0,109.0,112.0,0.79,221.0,50.0,True,take_profit,,3.0,3.0,synthetic,30
2012-12-27,2013-01-25,2012-12-28,113.01665496826172,19.469999313354492,0.4557,medium,0.2,106.0,109.0,119.0,122.0,2.66,34.0,-365.0,False,stop_loss,,3.0,3.0,thetadata,29
2013-02-26,2013-03-28,2013-02-27,119.7708511352539,16.8700008392334,0.3178,medium,0.2,112.0,116.0,125.0,129.0,3.66,34.0,-62.0,False,stop_loss,,4.0,4.0,thetadata,30
2013-04-17,2013-05-18,2013-04-18,124.38529968261719,16.510000228881836,0.3392,medium,0.2,116.0,120.0,130.0,134.0,3.7,30.0,-60.0,False,stop_loss,,4.0,4.0,thetadata,31
2013-06-17,2013-07-20,2013-06-18,131.86712646484375,16.799999237060547,0.4816,medium,0.2,123.0,127.0,138.0,142.0,3.78,22.0,-47.0,False,stop_loss,,4.0,4.0,thetadata,33
2013-09-09,2013-10-11,2013-09-27,135.13653564453125,15.630000114440918,0.3792,medium,0.2,127.0,131.0,141.0,145.0,3.64,36.0,-69.0,False,stop_loss,,4.0,4.0,thetadata,32
2013-09-30,2013-11-01,2013-10-01,136.10311889648438,16.600000381469727,0.4641,medium,0.2,127.0,131.0,142.0,146.0,3.6,40.0,-66.0,False,stop_loss,,4.0,4.0,thetadata,32
2013-10-07,2013-11-08,2013-10-11,135.63330078125,19.40999984741211,0.7102,very_high,0.3,128.0,132.0,140.0,144.0,3.69,31.0,-59.0,False,stop_loss,,4.0,4.0,thetadata,32
2013-10-14,2013-11-16,2013-10-15,138.47669982910156,16.06999969482422,0.4177,medium,0.2,130.0,134.0,145.0,149.0,3.63,37.0,-66.0,False,stop_loss,,4.0,4.0,thetadata,33
2013-12-17,2014-01-18,2013-12-18,144.72238159179688,16.209999084472656,0.4299,medium,0.2,136.0,140.0,152.0,156.0,3.71,29.0,-62.0,False,stop_loss,,4.0,4.0,thetadata,32
2014-01-02,2014-01-31,2014-01-03,148.98605346679688,14.229999542236328,0.3188,medium,0.2,142.0,145.0,155.0,159.0,3.65,35.0,-63.0,False,stop_loss,,3.0,4.0,thetadata,29
2014-01-24,2014-02-22,2014-01-27,145.7036895751953,18.139999389648438,0.7443,very_high,0.3,139.0,143.0,151.0,155.0,3.54,46.0,-168.0,False,stop_loss,,4.0,4.0,thetadata,29
2014-02-20,2014-03-22,2014-02-21,149.94717407226562,14.789999961853027,0.3442,medium,0.2,141.0,145.0,156.0,160.0,3.75,25.0,-50.0,False,stop_loss,,4.0,4.0,thetadata,30
2014-03-13,2014-04-11,2014-03-18,150.8267059326172,16.219999313354492,0.4852,medium,0.2,141.0,146.0,158.0,163.0,4.7,30.0,-62.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-04-14,2014-05-17,2014-04-15,149.6599578857422,16.110000610351562,0.4448,medium,0.2,141.0,145.0,156.0,160.0,3.7,30.0,-125.0,False,stop_loss,,4.0,4.0,thetadata,33
2014-07-17,2014-08-16,2014-07-18,160.87408447265625,14.539999961853027,0.3795,medium,0.2,151.0,156.0,167.0,172.0,4.63,37.0,-59.0,False,stop_loss,,5.0,5.0,thetadata,30
2014-09-25,2014-10-24,2014-10-16,162.14637756347656,15.640000343322754,0.4784,medium,0.2,152.5,157.5,169.0,174.0,4.07,93.0,-137.0,False,stop_loss,put,5.0,5.0,thetadata,29
2014-10-02,2014-10-31,2014-10-14,160.52769470214844,16.15999984741211,0.5252,high,0.25,150.0,155.0,166.0,171.0,4.46,54.0,-73.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-10-09,2014-11-07,2014-10-14,159.1732940673828,18.760000228881836,0.759,very_high,0.3,150.0,155.0,165.0,170.0,4.45,55.0,-70.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-10-16,2014-11-14,2014-10-17,153.83010864257812,25.200000762939453,0.9953,very_high,0.3,145.0,150.0,161.0,166.0,3.99,101.0,-233.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-10-23,2014-11-22,2014-10-24,160.98191833496094,16.530000686645508,0.4154,medium,0.2,150.0,155.0,169.0,174.0,4.57,43.0,-72.0,False,stop_loss,,5.0,5.0,thetadata,30
2014-12-12,2015-01-09,2014-12-18,165.9039306640625,21.079999923706055,0.7197,very_high,0.3,155.0,160.0,170.0,175.0,3.71,129.0,-450.0,False,stop_loss,call,5.0,5.0,thetadata,28
2014-12-19,2015-01-17,2014-12-22,171.49478149414062,16.489999771118164,0.4127,medium,0.2,160.0,165.0,180.0,185.0,3.97,103.0,-151.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-12-29,2015-01-30,2014-12-30,173.32162475585938,15.0600004196167,0.3171,medium,0.2,165.0,170.0,180.0,185.0,4.6,40.0,-63.0,False,stop_loss,,5.0,5.0,thetadata,32
2015-01-07,2015-02-06,2015-01-08,167.9987335205078,19.309999465942383,0.6013,high,0.25,160.0,165.0,175.0,180.0,4.58,42.0,-66.0,False,stop_loss,,5.0,5.0,thetadata,30
2015-01-16,2015-02-13,2015-02-06,167.43414306640625,20.950000762939453,0.711,very_high,0.3,160.0,165.0,175.0,179.0,3.59,141.0,-362.0,False,stop_loss,,5.0,4.0,thetadata,28
2015-01-26,2015-02-27,2015-01-27,170.60621643066406,15.520000457763672,0.3478,medium,0.2,160.0,165.0,180.0,185.0,4.59,41.0,-59.0,False,stop_loss,,5.0,5.0,thetadata,32
2015-02-02,2015-03-06,2015-02-03,167.6749267578125,19.43000030517578,0.6094,high,0.25,155.0,160.0,175.0,180.0,4.57,43.0,-67.0,False,stop_loss,,5.0,5.0,thetadata,32
