entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,put_delta,call_delta,call_delta_offset,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2020-02-24,2020-03-25,2020-03-12,295.4538879394531,25.030000686645508,1.0,very_high,0.3,0.3,0.3,0.0,277.0,286.0,309.0,318.0,2.59,641.0,-664.0,False,stop_loss,put,9.0,9.0,thetadata,30
2020-03-16,2020-04-15,2020-04-15,219.78976440429688,82.69000244140625,1.0,very_high,0.3,0.3,0.3,0.0,190.0,200.0,258.0,265.0,4.11,589.0,411.0,True,expiration,,10.0,7.0,thetadata,30
2020-03-23,2020-04-22,2020-03-26,205.50457763671875,61.59000015258789,0.7034,very_high,0.3,0.3,0.3,0.0,185.0,190.0,230.0,236.0,3.11,289.0,-298.0,False,stop_loss,call,5.0,6.0,thetadata,30
2020-04-06,2020-05-06,2020-04-29,244.1352081298828,45.2400016784668,0.4736,medium,0.2,0.2,0.2,0.0,215.0,220.0,275.0,282.0,2.45,455.0,-413.0,False,stop_loss,,5.0,7.0,thetadata,30
2020-04-14,2020-05-13,2020-05-04,261.5839538574219,37.7599983215332,0.3685,medium,0.2,0.2,0.2,0.0,235.0,240.0,290.0,298.0,3.65,435.0,189.0,True,take_profit,,5.0,8.0,thetadata,29
2020-04-21,2020-05-20,2020-05-20,251.67514038085938,45.40999984741211,0.476,medium,0.2,0.2,0.2,0.0,220.0,230.0,283.0,291.0,4.07,593.0,407.0,True,expiration,,10.0,8.0,thetadata,29
2020-04-28,2020-05-27,2020-05-27,263.3721923828125,33.56999969482422,0.3096,medium,0.2,0.2,0.2,0.0,235.0,245.0,288.0,296.0,4.58,542.0,458.0,True,expiration,,10.0,8.0,thetadata,29
2020-05-05,2020-06-03,2020-06-03,263.796142578125,33.61000061035156,0.3102,medium,0.2,0.2,0.2,0.0,235.0,245.0,289.0,297.0,4.34,566.0,434.0,True,expiration,,10.0,8.0,thetadata,29
2020-05-12,2020-06-10,2020-05-29,264.23858642578125,33.040000915527344,0.3022,medium,0.2,0.2,0.2,0.0,240.0,245.0,289.0,297.0,3.95,405.0,-319.0,False,stop_loss,,5.0,8.0,thetadata,29
2020-06-17,2020-07-17,2020-06-29,287.2732238769531,33.470001220703125,0.3082,medium,0.2,0.2,0.2,0.0,258.0,267.0,314.0,323.0,4.6,440.0,232.0,True,take_profit,,9.0,9.0,thetadata,30
