entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,put_delta,call_delta,call_delta_offset,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2020-02-24,2020-03-25,2020-03-12,295.4538879394531,25.030000686645508,1.0,very_high,0.3,0.3,0.23,-0.07,277.0,286.0,314.0,323.0,2.06,694.0,-716.0,False,stop_loss,put,9.0,9.0,thetadata,30
2020-03-16,2020-04-15,2020-04-01,219.78976440429688,82.69000244140625,1.0,very_high,0.3,0.3,0.23,-0.07,190.0,200.0,271.0,278.0,3.56,644.0,239.0,True,take_profit,,10.0,7.0,thetadata,30
2020-03-23,2020-04-22,2020-03-26,205.50457763671875,61.59000015258789,0.7034,very_high,0.3,0.3,0.23,-0.07,185.0,190.0,238.0,244.0,2.52,348.0,-309.0,False,stop_loss,call,5.0,6.0,thetadata,30
2020-03-30,2020-04-29,2020-04-29,241.17640686035156,57.08000183105469,0.6401,high,0.25,0.25,0.18,-0.07,215.0,220.0,286.0,293.0,0.55,645.0,55.0,True,expiration,,5.0,7.0,thetadata,30
2020-04-06,2020-05-06,2020-05-06,244.1352081298828,45.2400016784668,0.4736,medium,0.2,0.2,0.13,-0.07,215.0,220.0,286.0,293.0,1.39,561.0,139.0,True,expiration,,5.0,7.0,thetadata,30
2020-04-14,2020-05-13,2020-04-21,261.5839538574219,37.7599983215332,0.3685,medium,0.2,0.2,0.13,-0.07,235.0,240.0,298.0,306.0,3.41,459.0,186.0,True,take_profit,,5.0,8.0,thetadata,29
2020-04-21,2020-05-20,2020-05-12,251.67514038085938,45.40999984741211,0.476,medium,0.2,0.2,0.13,-0.07,220.0,230.0,295.0,303.0,2.41,759.0,144.0,True,take_profit,,10.0,8.0,thetadata,29
2020-04-28,2020-05-27,2020-05-13,263.3721923828125,33.56999969482422,0.3096,medium,0.2,0.2,0.13,-0.07,235.0,245.0,296.0,304.0,3.02,698.0,200.0,True,take_profit,,10.0,8.0,thetadata,29
2020-05-05,2020-06-03,2020-06-03,263.796142578125,33.61000061035156,0.3102,medium,0.2,0.2,0.13,-0.07,235.0,245.0,297.0,305.0,2.74,726.0,274.0,True,expiration,,10.0,8.0,thetadata,29
2020-05-12,2020-06-10,2020-06-03,264.23858642578125,33.040000915527344,0.3022,medium,0.2,0.2,0.13,-0.07,240.0,245.0,297.0,305.0,2.34,566.0,-491.0,False,stop_loss,,5.0,8.0,thetadata,29
2020-06-17,2020-07-17,2020-06-25,287.2732238769531,33.470001220703125,0.3082,medium,0.2,0.2,0.13,-0.07,258.0,267.0,323.0,332.0,2.8,620.0,141.0,True,take_profit,,9.0,9.0,thetadata,30
2020-06-24,2020-07-24,2020-07-22,281.529052734375,33.84000015258789,0.3134,medium,0.2,0.2,0.13,-0.07,255.0,260.0,317.0,325.0,2.55,545.0,-465.0,False,stop_loss,,5.0,8.0,thetadata,30
2020-09-03,2020-10-02,2020-09-22,319.7649230957031,33.599998474121094,0.31,medium,0.2,0.2,0.13,-0.07,287.0,297.0,360.0,370.0,1.9,810.0,173.0,True,take_profit,,10.0,10.0,thetadata,29
2020-10-30,2020-11-30,2020-11-24,303.5235595703125,38.02000045776367,0.3722,medium,0.2,0.2,0.13,-0.07,270.0,280.0,346.0,355.0,2.63,737.0,-623.0,False,stop_loss,,10.0,9.0,thetadata,31
2021-09-30,2021-10-29,2021-10-20,404.5107421875,23.139999389648438,0.3201,medium,0.2,0.2,0.13,-0.07,375.0,386.0,439.0,451.0,3.31,869.0,-691.0,False,stop_loss,,11.0,12.0,thetadata,29
2021-12-03,2022-01-03,2021-12-27,427.3972473144531,30.670000076293945,0.7054,very_high,0.3,0.3,0.23,-0.07,400.0,410.0,461.0,474.0,5.19,781.0,-668.0,False,stop_loss,,10.0,13.0,thetadata,31
2022-01-18,2022-02-16,2022-02-08,431.802734375,22.790000915527344,0.3505,medium,0.2,0.2,0.13,-0.07,399.0,412.0,469.0,482.0,2.25,1075.0,199.0,True,take_profit,,13.0,13.0,thetadata,29
2022-02-01,2022-03-02,2022-02-11,428.4542236328125,21.959999084472656,0.41,medium,0.2,0.2,0.13,-0.07,395.0,408.0,462.0,475.0,3.97,903.0,202.0,True,take_profit,,13.0,13.0,thetadata,29
2022-02-08,2022-03-09,2022-02-25,426.55291748046875,21.440000534057617,0.3794,medium,0.2,0.2,0.13,-0.07,395.0,408.0,460.0,473.0,4.92,808.0,397.0,True,take_profit,,13.0,13.0,thetadata,29
