entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,short_put,long_put,put_width,credit,max_loss,pnl,won,exit_reason,side_breached,data_source,dte,sma_value,sma_period,sma_filter_active,stop_loss_mult
2014-02-20,2014-03-22,2014-03-04,149.94717407226562,14.789999961853027,0.3442,medium,0.2,145.0,140.0,5.0,0.02,498.0,1.0,True,take_profit,,thetadata,30,144.78,100,True,2.0
2014-10-08,2014-11-07,2014-10-14,162.3940887451172,15.109999656677246,0.4308,medium,0.2,155.0,150.0,5.0,0.02,498.0,-7.0,False,stop_loss,,thetadata,30,161.29,100,True,2.0
2014-12-11,2015-01-09,2014-12-18,168.6292266845703,20.079999923706055,0.6528,high,0.25,165.0,160.0,5.0,0.04,496.0,-38.0,False,stop_loss,,thetadata,29,163.97,100,True,2.0
2014-12-18,2015-01-17,2014-12-19,170.7681884765625,16.809999465942383,0.4341,medium,0.2,165.0,160.0,5.0,0.01,499.0,-3.0,False,stop_loss,,thetadata,30,164.15,100,True,2.0
2015-01-12,2015-02-13,2015-01-13,168.28109741210938,19.600000381469727,0.6207,high,0.25,165.0,160.0,5.0,0.02,498.0,-6.0,False,stop_loss,,thetadata,32,165.78,100,True,2.0
2015-01-20,2015-02-20,2015-01-28,167.7911834716797,19.889999389648438,0.6401,high,0.25,163.0,158.0,5.0,0.02,498.0,-5.0,False,stop_loss,,thetadata,31,165.93,100,True,2.0
2017-08-17,2017-09-15,2017-08-28,212.398681640625,15.550000190734863,0.4707,medium,0.2,206.0,200.0,6.0,0.03,597.0,2.0,True,take_profit,,thetadata,29,210.39,100,True,2.0
2017-11-17,2017-12-15,2017-12-06,226.4220428466797,11.430000305175781,0.3319,medium,0.2,221.0,214.0,7.0,0.02,698.0,1.0,True,take_profit,,thetadata,28,218.82,100,True,2.0
2018-01-18,2018-02-16,2018-02-02,246.36050415039062,12.220000267028809,0.4464,medium,0.2,241.0,234.0,7.0,0.02,698.0,-7.0,False,stop_loss,,thetadata,29,227.44,100,True,2.0
2018-01-25,2018-02-23,2018-02-13,250.03196716308594,11.579999923706055,0.3536,medium,0.2,244.0,236.0,8.0,0.46,754.0,28.0,True,take_profit,,thetadata,29,229.18,100,True,2.0
2018-02-01,2018-03-02,2018-02-14,248.513916015625,13.470000267028809,0.6275,high,0.25,243.0,236.0,7.0,0.24,676.0,13.0,True,take_profit,,thetadata,29,230.9,100,True,2.0
2018-02-15,2018-03-16,2018-02-26,240.96795654296875,19.1299991607666,0.3545,medium,0.2,232.0,225.0,7.0,0.06,694.0,3.0,True,take_profit,,thetadata,29,232.57,100,True,2.0
2018-03-02,2018-04-02,2018-03-09,237.48182678222656,19.59000015258789,0.3708,medium,0.2,230.0,220.0,10.0,0.11,989.0,6.0,True,take_profit,,thetadata,31,234.48,100,True,2.0
2019-05-13,2019-06-12,2019-05-15,253.69944763183594,20.549999237060547,0.3846,medium,0.2,245.0,235.0,10.0,0.18,982.0,11.0,True,take_profit,,thetadata,30,247.55,100,True,2.0
2020-02-20,2020-03-20,2020-02-24,308.7686462402344,15.5600004196167,0.308,medium,0.2,299.0,290.0,9.0,0.14,886.0,-74.0,False,stop_loss,put,thetadata,29,287.95,100,True,2.0
2020-06-15,2020-07-15,2020-06-29,283.02386474609375,34.400001525878906,0.3213,medium,0.2,265.0,255.0,10.0,0.59,941.0,36.0,True,take_profit,,thetadata,30,270.15,100,True,2.0
2021-09-21,2021-10-20,2021-09-23,408.7430419921875,24.360000610351562,0.3685,medium,0.2,388.0,375.0,13.0,0.64,1236.0,42.0,True,take_profit,,thetadata,29,405.59,100,True,2.0
