entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2012-05-18,2012-06-17,2012-06-04,101.77703857421875,25.100000381469727,0.3213,medium,0.2,91.0,96.0,109.0,114.0,1.11,389.0,59.0,True,take_profit,,5.0,5.0,synthetic,30
2014-12-11,2015-01-09,2014-12-18,168.6291961669922,20.079999923706055,0.6528,high,0.25,160.0,165.0,175.0,180.0,2.17,283.0,-658.0,False,stop_loss,,5.0,5.0,thetadata,29
2015-08-24,2015-09-25,2015-08-25,158.83255004882812,40.7400016784668,1.0,very_high,0.3,146.0,151.0,171.0,176.0,2.46,254.0,-387.0,False,stop_loss,,5.0,5.0,thetadata,32
2018-04-02,2018-05-02,2018-05-01,228.14523315429688,23.6200008392334,0.5138,high,0.25,210.0,220.0,241.0,248.0,5.12,488.0,-527.0,False,stop_loss,,10.0,7.0,thetadata,30
2018-11-23,2018-12-24,2018-12-21,235.37513732910156,21.520000457763672,0.4391,medium,0.2,215.0,225.0,249.0,256.0,2.43,757.0,225.0,True,take_profit,,10.0,7.0,thetadata,31
2018-12-17,2019-01-16,2018-12-31,228.320556640625,24.520000457763672,0.5456,high,0.25,212.0,219.0,241.0,248.0,0.4,660.0,-513.0,False,stop_loss,,7.0,7.0,thetadata,30
2020-02-27,2020-03-27,2020-03-20,272.6272888183594,39.15999984741211,1.0,very_high,0.3,252.0,260.0,292.0,300.0,1.0,700.0,-711.0,False,stop_loss,put,8.0,8.0,thetadata,29
2020-03-19,2020-04-17,2020-04-08,220.39454650878906,72.0,0.8498,very_high,0.3,196.0,203.0,251.0,258.0,4.18,282.0,-215.0,False,stop_loss,call,7.0,7.0,thetadata,29
2020-03-26,2020-04-24,2020-04-03,240.7616424560547,61.0,0.6952,high,0.25,211.0,218.0,276.0,283.0,3.41,359.0,213.0,True,take_profit,,7.0,7.0,thetadata,29
2020-04-02,2020-05-01,2020-04-17,232.12474060058594,50.90999984741211,0.5533,high,0.25,207.0,214.0,261.0,268.0,3.86,314.0,-252.0,False,stop_loss,call,7.0,7.0,thetadata,29
2020-04-09,2020-05-08,2020-05-06,256.4314270019531,41.66999816894531,0.4235,medium,0.2,226.0,234.0,286.0,294.0,3.83,417.0,228.0,True,take_profit,,8.0,8.0,thetadata,29
2020-04-17,2020-05-18,2020-05-04,264.2109680175781,38.150001525878906,0.374,medium,0.2,235.0,245.0,293.0,301.0,4.14,586.0,234.0,True,take_profit,,10.0,8.0,thetadata,31
2020-04-24,2020-05-22,2020-05-22,260.8281555175781,35.93000030517578,0.3428,medium,0.2,233.0,241.0,287.0,295.0,4.11,389.0,411.0,True,expiration,,8.0,8.0,thetadata,28
2020-05-01,2020-06-01,2020-06-01,260.6622314453125,37.189998626708984,0.3605,medium,0.2,230.0,240.0,287.0,295.0,4.46,554.0,446.0,True,expiration,,10.0,8.0,thetadata,31
2020-06-15,2020-07-15,2020-07-15,283.02392578125,34.400001525878906,0.3213,medium,0.2,255.0,265.0,310.0,318.0,4.06,594.0,406.0,True,expiration,,10.0,8.0,thetadata,30
2020-10-28,2020-11-27,2020-11-16,303.6350402832031,40.279998779296875,0.4039,medium,0.2,270.0,280.0,339.0,348.0,4.01,599.0,-477.0,False,stop_loss,,10.0,9.0,thetadata,30
2021-09-21,2021-10-20,2021-10-12,408.7429504394531,24.360000610351562,0.3685,medium,0.2,375.0,388.0,436.0,448.0,6.21,679.0,368.0,True,take_profit,,13.0,12.0,thetadata,29
2021-09-28,2021-10-27,2021-10-19,408.8278503417969,23.25,0.3245,medium,0.2,380.0,390.0,434.0,446.0,6.92,508.0,-426.0,False,stop_loss,,10.0,12.0,thetadata,29
2022-01-21,2022-02-18,2022-02-17,414.2937316894531,28.850000381469727,0.6234,high,0.25,383.0,395.0,442.0,454.0,6.27,573.0,556.0,True,take_profit,,12.0,12.0,thetadata,28
2022-01-28,2022-02-28,2022-02-23,418.049072265625,27.65999984741211,0.7463,very_high,0.3,390.0,403.0,439.0,452.0,5.44,756.0,456.0,True,take_profit,,13.0,13.0,thetadata,31
2022-02-11,2022-03-14,2022-03-07,416.6396789550781,27.360000610351562,0.7286,very_high,0.3,392.0,404.0,438.0,450.0,5.66,634.0,319.0,True,take_profit,,12.0,12.0,thetadata,31
2022-02-28,2022-03-30,2022-03-24,413.0167541503906,30.149999618530273,0.8932,very_high,0.3,385.0,397.0,436.0,448.0,3.54,846.0,-644.0,False,stop_loss,,12.0,12.0,thetadata,30
2022-03-14,2022-04-13,2022-03-28,394.4483642578125,31.770000457763672,0.7817,very_high,0.3,365.0,379.0,418.0,430.0,5.84,816.0,-649.0,False,stop_loss,call,14.0,12.0,thetadata,30
2022-03-21,2022-04-20,2022-04-13,421.6629943847656,23.530000686645508,0.3974,medium,0.2,387.0,400.0,450.0,463.0,6.9,610.0,596.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-11,2022-05-11,2022-05-02,417.421630859375,24.3700008392334,0.4366,medium,0.2,383.0,396.0,445.0,458.0,4.96,804.0,318.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-26,2022-05-25,2022-05-23,394.81982421875,33.52000045776367,0.8633,very_high,0.3,367.0,379.0,419.0,431.0,1.28,1072.0,111.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-03,2022-06-01,2022-05-25,395.08544921875,29.25,0.6642,high,0.25,365.0,377.0,421.0,433.0,1.51,1049.0,92.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-10,2022-06-08,2022-06-07,378.6797790527344,32.9900016784668,0.8386,very_high,0.3,353.0,364.0,402.0,413.0,4.79,621.0,-556.0,False,stop_loss,,11.0,11.0,thetadata,29
2022-05-17,2022-06-15,2022-06-09,387.43768310546875,26.100000381469727,0.5173,high,0.25,359.0,371.0,410.0,422.0,6.27,573.0,422.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-24,2022-06-22,2022-06-13,373.7457275390625,29.450000762939453,0.6735,high,0.25,345.0,356.0,399.0,410.0,5.22,578.0,325.0,True,take_profit,,11.0,11.0,thetadata,29
2022-06-01,2022-07-01,2022-06-10,388.64276123046875,25.690000534057617,0.4981,medium,0.2,355.0,367.0,416.0,428.0,5.03,697.0,264.0,True,take_profit,,12.0,12.0,thetadata,30
2022-06-08,2022-07-08,2022-06-24,390.1893615722656,23.959999084472656,0.4174,medium,0.2,358.0,370.0,416.0,428.0,5.13,687.0,370.0,True,take_profit,,12.0,12.0,thetadata,30
2022-06-15,2022-07-15,2022-07-14,359.8069152832031,29.6200008392334,0.6814,high,0.25,332.0,343.0,384.0,395.0,1.51,949.0,109.0,True,take_profit,,11.0,11.0,thetadata,30
2022-06-23,2022-07-22,2022-07-21,360.27484130859375,29.049999237060547,0.6549,high,0.25,332.0,343.0,384.0,395.0,2.68,832.0,-766.0,False,stop_loss,,11.0,11.0,thetadata,29
2022-06-30,2022-07-29,2022-07-21,359.5029296875,28.709999084472656,0.639,high,0.25,332.0,343.0,382.0,393.0,3.05,795.0,-597.0,False,stop_loss,,11.0,11.0,thetadata,29
2022-07-15,2022-08-15,2022-08-10,367.0122375488281,24.229999542236328,0.43,medium,0.2,335.0,348.0,391.0,402.0,4.8,820.0,-674.0,False,stop_loss,call,13.0,11.0,thetadata,31
2022-09-02,2022-10-03,2022-09-20,373.7877502441406,25.469999313354492,0.4879,medium,0.2,342.0,353.0,400.0,411.0,4.01,699.0,210.0,True,take_profit,,11.0,11.0,thetadata,31
2022-09-12,2022-10-12,2022-09-13,391.6367492675781,23.8700008392334,0.4132,medium,0.2,360.0,372.0,418.0,430.0,6.88,512.0,383.0,True,take_profit,,12.0,12.0,thetadata,30
2022-09-19,2022-10-19,2022-10-04,371.7923583984375,25.760000228881836,0.5014,high,0.25,345.0,356.0,394.0,405.0,5.22,578.0,275.0,True,take_profit,,11.0,11.0,thetadata,30
2022-10-24,2022-11-23,2022-11-22,362.52984619140625,29.850000381469727,0.6909,high,0.25,335.0,346.0,388.0,399.0,3.59,741.0,-684.0,False,stop_loss,,11.0,11.0,thetadata,30
2022-11-07,2022-12-07,2022-11-25,363.5633239746094,24.350000381469727,0.3998,medium,0.2,335.0,345.0,388.0,399.0,4.07,693.0,-893.0,False,stop_loss,,10.0,11.0,thetadata,30
2022-11-14,2022-12-14,2022-12-07,378.0790100097656,23.729999542236328,0.3665,medium,0.2,348.0,359.0,403.0,414.0,3.99,701.0,208.0,True,take_profit,,11.0,11.0,thetadata,30
2023-03-20,2023-04-19,2023-04-19,379.93310546875,24.149999618530273,0.372,medium,0.2,350.0,361.0,405.0,416.0,5.16,584.0,516.0,True,expiration,,11.0,11.0,thetadata,30
